Taxon	Downstream.5pm	Upstream.5.30am	Downstream.7.30am.day2	Upstream.8am.biof	Upstream.11am.biof	Downstream.8am.biof	Upstream.7.30am.day2	Upstream.5pm.biof	Downstream.5pm.biof	Downstream.11am	Trans.Waller.split	Upstream.2pm.biof	Trans.27.pipe	Upstream.5pm	Upstream.11am	Trans.Hemphill.Split	Upstream.8am	Downstream.5.30am	Downstream.2pm	Trans.105.pipe	Downstream.11am.biof	Downstream.8am	Upstream.2pm	Trans.24th.Street.Weir	Trans.Clark.Field
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;Other;Other;Other	0.00240506329114	0.00354430379747	0.00645569620253	0.0117721518987	0.0315189873418	0.0207594936709	0.00215189873418	0.016835443038	0.00924050632911	0.0020253164557	0.00303797468354	0.0359493670886	0.00784810126582	0.00215189873418	0.0026582278481	0.00316455696203	0.00430379746835	0.00518987341772	0.00303797468354	0.00607594936709	0.0241772151899	0.00670886075949	0.00329113924051	0.00240506329114	0.0020253164557
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__	0.0	0.000506329113924	0.0	0.000379746835443	0.000886075949367	0.000253164556962	0.000379746835443	0.00101265822785	0.0	0.000126582278481	0.000632911392405	0.00113924050633	0.00101265822785	0.000126582278481	0.000253164556962	0.000253164556962	0.000253164556962	0.0	0.000126582278481	0.00101265822785	0.0	0.000126582278481	0.0	0.000253164556962	0.000126582278481
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__BD7-3;f__;g__	0.000506329113924	0.00177215189873	0.000506329113924	0.000379746835443	0.000632911392405	0.0	0.00101265822785	0.00113924050633	0.0	0.000632911392405	0.00227848101266	0.000886075949367	0.010253164557	0.00164556962025	0.00151898734177	0.00113924050633	0.00113924050633	0.000759493670886	0.000506329113924	0.000759493670886	0.000253164556962	0.000126582278481	0.00139240506329	0.00101265822785	0.000886075949367
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;Other;Other	0.0	0.0	0.0	0.0	0.0	0.000126582278481	0.0	0.0	0.000253164556962	0.0	0.000126582278481	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000126582278481	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;Other	0.000253164556962	0.000126582278481	0.000253164556962	0.000632911392405	0.000506329113924	0.00151898734177	0.0	0.000759493670886	0.000759493670886	0.000126582278481	0.00303797468354	0.000759493670886	0.000253164556962	0.000126582278481	0.000126582278481	0.000379746835443	0.000506329113924	0.000379746835443	0.000759493670886	0.00151898734177	0.00227848101266	0.00101265822785	0.000632911392405	0.0026582278481	0.00126582278481
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__	0.000253164556962	0.0	0.000253164556962	0.000126582278481	0.0	0.000253164556962	0.000253164556962	0.000126582278481	0.000126582278481	0.000253164556962	0.00189873417722	0.000379746835443	0.000253164556962	0.000126582278481	0.000253164556962	0.000506329113924	0.000379746835443	0.000506329113924	0.000379746835443	0.00151898734177	0.000253164556962	0.000253164556962	0.000126582278481	0.00139240506329	0.00113924050633
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Arthrospira	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000126582278481	0.0	0.0	0.0	0.0	0.000126582278481	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Asticcacaulis	0.0	0.0	0.000253164556962	0.0	0.0	0.0	0.000253164556962	0.0	0.000126582278481	0.000126582278481	0.00101265822785	0.0	0.0	0.000253164556962	0.000253164556962	0.0	0.0	0.000253164556962	0.000253164556962	0.000126582278481	0.0	0.000379746835443	0.0	0.000253164556962	0.000253164556962
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas	0.0	0.000126582278481	0.0	0.000632911392405	0.000379746835443	0.000126582278481	0.0	0.000253164556962	0.000506329113924	0.000126582278481	0.0	0.000506329113924	0.0	0.0	0.0	0.0	0.0	0.0	0.000126582278481	0.000126582278481	0.000253164556962	0.000126582278481	0.000126582278481	0.000253164556962	0.000126582278481
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter	0.000126582278481	0.0	0.0	0.000379746835443	0.000126582278481	0.00113924050633	0.000253164556962	0.0	0.000759493670886	0.00101265822785	0.0020253164557	0.000126582278481	0.000126582278481	0.000126582278481	0.000126582278481	0.000379746835443	0.0	0.000126582278481	0.000253164556962	0.00126582278481	0.000506329113924	0.000632911392405	0.0	0.000506329113924	0.000886075949367
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Mycoplana	0.0	0.000126582278481	0.000126582278481	0.000126582278481	0.000126582278481	0.000506329113924	0.0	0.0	0.000253164556962	0.000253164556962	0.00392405063291	0.000632911392405	0.000126582278481	0.000126582278481	0.000379746835443	0.000379746835443	0.000126582278481	0.000126582278481	0.000506329113924	0.000379746835443	0.000379746835443	0.000126582278481	0.000253164556962	0.00240506329114	0.000632911392405
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium	0.000253164556962	0.000379746835443	0.00101265822785	0.00379746835443	0.0020253164557	0.00227848101266	0.000253164556962	0.000506329113924	0.00164556962025	0.000253164556962	0.000506329113924	0.00227848101266	0.000506329113924	0.000253164556962	0.000253164556962	0.00113924050633	0.000253164556962	0.000886075949367	0.000506329113924	0.00126582278481	0.000759493670886	0.000379746835443	0.000632911392405	0.00164556962025	0.000886075949367
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Ellin329;f__;g__	0.0	0.0	0.000126582278481	0.0	0.0	0.0	0.0	0.000126582278481	0.0	0.0	0.000379746835443	0.000126582278481	0.000379746835443	0.0	0.000126582278481	0.0	0.0	0.0	0.0	0.000506329113924	0.0	0.0	0.000126582278481	0.000126582278481	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kiloniellales;f__;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000126582278481	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000126582278481	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
